                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.1502,                 1.2958,                 1.1787,                 1.1978,                0.94014,                0.92659,                  0.947,                 0.4655,                0.91607,                  0.904,                0.93313,                 0.4832,                 1.6051,                  2.944,                 1.0022,                 1.7842,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1317,                 1.2501,                 1.1566,                 1.1956,                0.93331,                0.93758,                0.96426,                0.49519,                0.91917,                  0.921,                 0.9468,                0.50417,                 1.4796,                 3.0509,                0.97337,                 1.6621,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1667,                 1.3051,                 1.1815,                 1.2123,                0.94008,                  0.943,                0.96843,                0.50956,                 0.9191,                  0.919,                0.95342,                0.49597,                 1.5133,                 3.2746,                0.96428,                 1.6929,               0.001109,               0.001109,               0.001109
                     47,                 1.1402,                 1.2773,                 1.1569,                 1.2061,                 0.9548,                  0.936,                0.96242,                0.44965,                 0.9466,                  0.924,                0.95221,                0.48191,                 1.6469,                  2.881,                 1.0108,                 1.7779,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1162,                  1.273,                 1.1199,                 1.1806,                0.96486,                0.96089,                0.98133,                0.52379,                0.95682,                0.95289,                 0.9745,                0.53198,                 1.5242,                 2.8192,                0.91683,                 1.6575,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1278,                 1.2939,                 1.1446,                 1.1841,                0.97429,                  0.957,                0.97773,                0.54273,                0.96735,                0.94817,                0.97251,                 0.5389,                 1.4988,                 2.7243,                0.87966,                 1.6429,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1433,                 1.2795,                  1.167,                 1.2025,                0.92795,                0.91437,                0.96169,                0.50095,                 0.9244,                  0.909,                0.96064,                0.53001,                 1.5657,                 2.6223,                0.96862,                 1.7081,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1602,                 1.2755,                  1.173,                 1.2196,                0.94807,                   0.94,                0.97241,                0.48651,                0.94303,                  0.935,                 0.9726,                0.54346,                 1.6478,                 2.8948,                0.89166,                 1.8219,                0.00101,                0.00101,                0.00101
                     52,                 1.1037,                 1.2308,                  1.098,                 1.1784,                0.94224,                  0.933,                 0.9716,                0.52753,                0.92846,                0.92142,                0.96245,                0.49426,                   1.53,                 3.1351,                0.90707,                 1.6765,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1321,                 1.3004,                 1.1553,                 1.2055,                0.95252,                0.94294,                0.97383,                0.53786,                0.94154,                0.93412,                0.96762,                0.50413,                 1.4129,                 3.0508,                0.94126,                 1.5994,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1049,                  1.269,                 1.0891,                 1.1697,                0.96704,                  0.949,                0.98257,                0.56529,                0.95986,                  0.937,                0.97704,                0.54002,                 1.3745,                 3.0213,                 0.8788,                  1.558,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0927,                 1.2443,                 1.0873,                 1.1679,                0.93152,                  0.923,                0.94684,                0.42371,                0.91288,                  0.904,                0.92882,                0.47989,                 1.8185,                 2.7793,                0.99343,                 1.9749,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1013,                 1.2372,                 1.1255,                  1.168,                0.96895,                  0.958,                0.97253,                0.50459,                 0.9604,                  0.953,                0.97455,                0.54904,                 1.5632,                  2.776,                0.87317,                 1.7553,               0.000911,               0.000911,               0.000911
                     57,                 1.1262,                 1.2647,                 1.1288,                 1.2007,                0.97164,                0.95934,                0.98253,                0.56331,                0.96207,                  0.945,                0.97865,                0.54977,                 1.4258,                 3.0091,                0.85028,                 1.5979,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0973,                  1.252,                 1.0944,                 1.1722,                0.97152,                  0.959,                0.97878,                0.58465,                0.96136,                  0.944,                0.97186,                0.54122,                 1.3749,                 2.8534,                0.91795,                 1.5508,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1189,                 1.2308,                 1.0657,                 1.1662,                0.98678,                0.97058,                0.98272,                0.57756,                0.97661,                0.96034,                0.97574,                0.57299,                 1.3891,                 2.7494,                0.80744,                 1.5489,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.054,                 1.2174,                  1.036,                 1.1562,                 0.9525,                0.94246,                0.96202,                 0.4993,                0.92841,                  0.916,                0.94628,                0.50513,                 1.4533,                  2.771,                 1.0194,                  1.617,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0799,                 1.2533,                 1.0551,                 1.1755,                 0.9552,                  0.957,                0.97056,                0.53548,                0.95229,                  0.951,                0.96884,                0.55632,                 1.5225,                 2.8112,                0.86973,                 1.6768,               0.000812,               0.000812,               0.000812
                     62,                 1.0812,                 1.2211,                 1.0583,                  1.163,                0.98398,                   0.96,                0.98586,                0.59138,                0.97841,                0.95165,                0.98271,                0.57734,                 1.4225,                 2.4977,                0.81395,                 1.5708,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0498,                  1.226,                  1.024,                 1.1442,                 0.9695,                0.95349,                0.97848,                0.57975,                0.96156,                  0.944,                   0.97,                0.56465,                 1.3768,                 2.7209,                0.83601,                 1.5549,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0721,                 1.2361,                 1.0459,                 1.1591,                0.97414,                  0.964,                0.97865,                0.56256,                0.97508,                  0.962,                0.97881,                0.57154,                 1.4975,                 2.7026,                0.82986,                 1.6917,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0744,                 1.2064,                 1.0558,                 1.1499,                0.92292,                  0.946,                0.97198,                0.57362,                0.90341,                  0.926,                0.95683,                0.51003,                 1.3214,                  2.882,                0.95357,                 1.5227,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0743,                 1.2228,                 1.0575,                  1.171,                0.96599,                0.96573,                0.97487,                0.53743,                0.96579,                  0.963,                0.97692,                0.57107,                 1.5091,                 2.6937,                0.86173,                 1.6465,               0.000713,               0.000713,               0.000713
                     67,                 1.0494,                 1.1985,                 1.0374,                 1.1544,                0.97299,                0.97268,                0.97862,                0.52894,                0.96687,                  0.966,                0.98028,                0.58064,                 1.5508,                 2.5709,                0.81964,                 1.7299,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0457,                 1.2303,                 1.0115,                 1.1433,                0.96475,                  0.963,                0.97714,                0.54641,                0.96762,                  0.965,                0.98134,                 0.5738,                 1.5241,                 2.6716,                 0.8482,                 1.6815,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0296,                 1.1896,                 0.9955,                 1.1346,                0.98388,                0.97666,                0.98384,                 0.5996,                0.98489,                0.97766,                0.98529,                0.57862,                  1.344,                 2.6868,                0.76615,                 1.5574,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0342,                 1.1928,                0.97317,                 1.1339,                0.96559,                0.95408,                0.97617,                0.56703,                0.96331,                  0.952,                0.97738,                0.58707,                 1.4241,                 2.4809,                0.81374,                 1.5939,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0207,                  1.183,                0.97118,                 1.1333,                0.98157,                  0.963,                0.98175,                0.58366,                0.97776,                  0.955,                 0.9834,                0.54126,                 1.3734,                 2.6112,                 0.8127,                  1.546,               0.000614,               0.000614,               0.000614
                     72,                 1.0156,                  1.205,                0.97163,                 1.1218,                0.97335,                  0.964,                0.97947,                0.58949,                0.97032,                  0.961,                0.97833,                0.57885,                 1.3328,                 2.9295,                0.81155,                 1.5292,              0.0005942,              0.0005942,              0.0005942
